,organization,industry,section,gri_l1,gri_l2,sim_score,gri_desc
21,lloyds,finances,lloyds-sustainability-2023-9,gri_2,gri_2-22,0.41657418,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
22,lloyds,finances,lloyds-sustainability-2023-13,gri_2,gri_2-22,0.47063005,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
23,lloyds,finances,lloyds-sustainability-2023-13,gri_2,gri_2-2,0.442460656,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
24,lloyds,finances,lloyds-sustainability-2023-13,gri_304,gri_304-2,0.40172869,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
25,lloyds,finances,lloyds-sustainability-2023-14,gri_2,gri_2-22,0.537812471,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
26,lloyds,finances,lloyds-sustainability-2023-14,gri_201,gri_201-1,0.533727169,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Direct economic value generated and distributed (Company's direct economic value (revenue) generated)"
27,lloyds,finances,lloyds-sustainability-2023-14,gri_2,gri_2-2,0.491731882,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
28,lloyds,finances,lloyds-sustainability-2023-14,gri_2,gri_2-29,0.491359681,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
29,lloyds,finances,lloyds-sustainability-2023-14,gri_2,gri_2-25,0.450660646,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
30,lloyds,finances,lloyds-sustainability-2023-14,gri_201,gri_201-2,0.429348886,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
31,lloyds,finances,lloyds-sustainability-2023-15,gri_304,gri_304-2,0.409106791,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
32,lloyds,finances,lloyds-sustainability-2023-16,gri_304,gri_304-2,0.411580443,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
33,lloyds,finances,lloyds-sustainability-2023-18,gri_2,gri_2-29,0.437140614,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
34,lloyds,finances,lloyds-sustainability-2023-18,gri_2,gri_2-5,0.429670811,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
35,lloyds,finances,lloyds-sustainability-2023-19,gri_2,gri_2-22,0.438386619,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
36,lloyds,finances,lloyds-sustainability-2023-19,gri_2,gri_2-2,0.433660388,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
37,lloyds,finances,lloyds-sustainability-2023-19,gri_301,gri_301-1,0.420735598,"Materials (Health and Safety, Waste Management, Recycled Materials): Materials used by weight or volume (Total weight of materials that are used to produce and package the organization's primary products and services)"
38,lloyds,finances,lloyds-sustainability-2023-19,gri_2,gri_2-25,0.420454949,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
39,lloyds,finances,lloyds-sustainability-2023-19,gri_308,gri_308-2,0.401272237,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
40,lloyds,finances,lloyds-sustainability-2023-21,gri_2,gri_2-22,0.480480224,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
41,lloyds,finances,lloyds-sustainability-2023-21,gri_2,gri_2-25,0.435408413,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
42,lloyds,finances,lloyds-sustainability-2023-21,gri_304,gri_304-2,0.416965395,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
43,lloyds,finances,lloyds-sustainability-2023-25,gri_2,gri_2-22,0.533655703,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
44,lloyds,finances,lloyds-sustainability-2023-25,gri_2,gri_2-29,0.521134079,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
45,lloyds,finances,lloyds-sustainability-2023-25,gri_304,gri_304-2,0.493872702,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
46,lloyds,finances,lloyds-sustainability-2023-25,gri_2,gri_2-25,0.48918277,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
47,lloyds,finances,lloyds-sustainability-2023-25,gri_2,gri_2-2,0.483727932,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
48,lloyds,finances,lloyds-sustainability-2023-26,gri_308,gri_308-1,0.545782566,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
49,lloyds,finances,lloyds-sustainability-2023-26,gri_308,gri_308-2,0.524045527,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
50,lloyds,finances,lloyds-sustainability-2023-28,gri_2,gri_2-22,0.51146549,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
51,lloyds,finances,lloyds-sustainability-2023-28,gri_201,gri_201-2,0.471167147,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
52,lloyds,finances,lloyds-sustainability-2023-28,gri_2,gri_2-2,0.45952177,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
53,lloyds,finances,lloyds-sustainability-2023-28,gri_2,gri_2-25,0.44978717,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
54,lloyds,finances,lloyds-sustainability-2023-29,gri_2,gri_2-22,0.407330394,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
55,lloyds,finances,lloyds-sustainability-2023-29,gri_304,gri_304-2,0.400338888,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
56,lloyds,finances,lloyds-sustainability-2023-30,gri_304,gri_304-2,0.479837984,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
57,lloyds,finances,lloyds-sustainability-2023-30,gri_2,gri_2-22,0.46942693,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
58,lloyds,finances,lloyds-sustainability-2023-30,gri_2,gri_2-2,0.449801028,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
59,lloyds,finances,lloyds-sustainability-2023-30,gri_2,gri_2-25,0.406044632,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
60,lloyds,finances,lloyds-sustainability-2023-30,gri_201,gri_201-2,0.401125938,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
61,lloyds,finances,lloyds-sustainability-2023-31,gri_2,gri_2-22,0.511043012,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
62,lloyds,finances,lloyds-sustainability-2023-31,gri_304,gri_304-2,0.487294763,"Biodiversity (Corporate Accountability, Nature): Significant impacts of activities, products, and services on biodiversity (Company's impact on biodiversity and management plan)"
63,lloyds,finances,lloyds-sustainability-2023-31,gri_2,gri_2-2,0.483092993,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
64,lloyds,finances,lloyds-sustainability-2023-31,gri_2,gri_2-25,0.457119703,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
65,lloyds,finances,lloyds-sustainability-2023-31,gri_308,gri_308-2,0.444791257,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
66,lloyds,finances,lloyds-sustainability-2023-31,gri_201,gri_201-2,0.442086309,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
67,lloyds,finances,lloyds-sustainability-2023-31,gri_2,gri_2-27,0.4200885,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
68,lloyds,finances,lloyds-sustainability-2023-32,gri_2,gri_2-22,0.479401708,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
69,lloyds,finances,lloyds-sustainability-2023-32,gri_308,gri_308-2,0.449166179,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
70,lloyds,finances,lloyds-sustainability-2023-32,gri_201,gri_201-2,0.438130617,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
71,lloyds,finances,lloyds-sustainability-2023-32,gri_305,gri_305-1,0.437963516,"Emissions (Climate Change, Pollution & Toxics): Direct greenhouse gas (GHG) emissions (Scope 1) (What is the amount of GHG emissions that the organization is directly responsible for?)"
72,lloyds,finances,lloyds-sustainability-2023-32,gri_2,gri_2-2,0.435299307,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
73,lloyds,finances,lloyds-sustainability-2023-32,gri_2,gri_2-25,0.402605295,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
74,lloyds,finances,lloyds-sustainability-2023-33,gri_201,gri_201-2,0.526615798,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Financial implications and other risks and opportunities due to climate change (Risks and opportunities posed by climate change that have the potential to generate substantive changes in operations, revenue, or expenditure)"
75,lloyds,finances,lloyds-sustainability-2023-33,gri_2,gri_2-25,0.452773303,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
76,lloyds,finances,lloyds-sustainability-2023-33,gri_2,gri_2-22,0.448000848,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
77,lloyds,finances,lloyds-sustainability-2023-33,gri_305,gri_305-2,0.419079572,"Emissions (Climate Change, Pollution & Toxics): Indirect greenhouse gas (GHG) emissions (Scope 2) (What is the amount of GHG emissions that the organization is indirectly responsible for?)"
78,lloyds,finances,lloyds-sustainability-2023-33,gri_305,gri_305-1,0.409891248,"Emissions (Climate Change, Pollution & Toxics): Direct greenhouse gas (GHG) emissions (Scope 1) (What is the amount of GHG emissions that the organization is directly responsible for?)"
79,lloyds,finances,lloyds-sustainability-2023-33,gri_201,gri_201-1,0.404661357,"Economic Performance (Revenue, Financial risks, Climate change risks and opportunities): Direct economic value generated and distributed (Company's direct economic value (revenue) generated)"
80,lloyds,finances,lloyds-sustainability-2023-34,gri_2,gri_2-5,0.401868522,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
81,lloyds,finances,lloyds-sustainability-2023-39,gri_308,gri_308-1,0.639709353,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
82,lloyds,finances,lloyds-sustainability-2023-39,gri_308,gri_308-2,0.616486788,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
83,lloyds,finances,lloyds-sustainability-2023-40,gri_308,gri_308-1,0.619587123,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
84,lloyds,finances,lloyds-sustainability-2023-40,gri_308,gri_308-2,0.615574479,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
85,lloyds,finances,lloyds-sustainability-2023-40,gri_2,gri_2-24,0.415189117,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Embedding policy commitments (Describe how organization embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships)"
86,lloyds,finances,lloyds-sustainability-2023-41,gri_308,gri_308-1,0.503336549,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
87,lloyds,finances,lloyds-sustainability-2023-41,gri_308,gri_308-2,0.47913304,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
88,lloyds,finances,lloyds-sustainability-2023-42,gri_308,gri_308-1,0.512072146,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
89,lloyds,finances,lloyds-sustainability-2023-42,gri_308,gri_308-2,0.460733622,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
90,lloyds,finances,lloyds-sustainability-2023-42,gri_2,gri_2-27,0.436166584,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
91,lloyds,finances,lloyds-sustainability-2023-43,gri_308,gri_308-1,0.59849906,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
92,lloyds,finances,lloyds-sustainability-2023-43,gri_308,gri_308-2,0.561715543,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
93,lloyds,finances,lloyds-sustainability-2023-43,gri_2,gri_2-5,0.426291376,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): External assurance (Organization's policy and practice for seeking external assurance, external climate change policies or goals)"
94,lloyds,finances,lloyds-sustainability-2023-44,gri_308,gri_308-2,0.555654526,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Negative environmental impacts in the supply chain and actions taken (Number of suppliers assessed for environmental impacts)"
95,lloyds,finances,lloyds-sustainability-2023-44,gri_308,gri_308-1,0.53491348,"Supplier Environmental Assessment (Governance, Supply Chain Transparency): Environmental Screening of new suppliers (New suppliers screened using environmental criteria)"
96,lloyds,finances,lloyds-sustainability-2023-49,gri_2,gri_2-27,0.409284532,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
97,lloyds,finances,lloyds-sustainability-2023-68,gri_2,gri_2-27,0.418731809,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
98,lloyds,finances,lloyds-sustainability-2023-68,gri_2,gri_2-25,0.408822894,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Processes to remediate negative impacts (climate change adaptation) (Organization's commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to)"
99,lloyds,finances,lloyds-sustainability-2023-69,gri_2,gri_2-29,0.406634122,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Approach to stakeholder engagement (Company's process for identifying relevant stakeholders across its value chain)"
100,lloyds,finances,lloyds-sustainability-2023-69,gri_2,gri_2-27,0.403882682,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Compliance with laws and regulations (Total number of significant instances of non-compliance with laws and regulations during the reporting period)"
101,lloyds,finances,lloyds-sustainability-2023-77,gri_2,gri_2-2,0.418606937,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Entities included in the organization's sustainability reporting (List of all entities included in sustainability reporting)"
102,lloyds,finances,lloyds-sustainability-2023-77,gri_2,gri_2-22,0.405187875,"General Disclosures (Organization and its Reporting Practices, Governance, Strategy, Goals, Risks, Policies and Practices, Stakeholder Engagement): Statement on sustainable development strategy and climate goals (Statement from the highest governance body of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development)"
